fila_excel,columna,descripcion
50,Id_cliente,ID 48 no existe en clients. Convertido a NULL.
50,linea_id,ID 3 no existe en lineas. Convertido a NULL.
51,Id_cliente,ID 49 no existe en clients. Convertido a NULL.
51,linea_id,ID 3 no existe en lineas. Convertido a NULL.
52,Id_cliente,ID 50 no existe en clients. Convertido a NULL.
52,linea_id,ID 3 no existe en lineas. Convertido a NULL.
53,Id_cliente,ID 51 no existe en clients. Convertido a NULL.
53,linea_id,ID 3 no existe en lineas. Convertido a NULL.
54,Id_cliente,ID 52 no existe en clients. Convertido a NULL.
54,linea_id,ID 3 no existe en lineas. Convertido a NULL.
55,Id_cliente,ID 53 no existe en clients. Convertido a NULL.
55,linea_id,ID 3 no existe en lineas. Convertido a NULL.
56,Id_cliente,ID 54 no existe en clients. Convertido a NULL.
56,linea_id,ID 3 no existe en lineas. Convertido a NULL.
57,Id_cliente,ID 55 no existe en clients. Convertido a NULL.
57,linea_id,ID 3 no existe en lineas. Convertido a NULL.
58,Id_cliente,ID 56 no existe en clients. Convertido a NULL.
58,linea_id,ID 3 no existe en lineas. Convertido a NULL.
59,Id_cliente,ID 57 no existe en clients. Convertido a NULL.
59,linea_id,ID 3 no existe en lineas. Convertido a NULL.
60,Id_cliente,ID 58 no existe en clients. Convertido a NULL.
60,linea_id,ID 3 no existe en lineas. Convertido a NULL.
61,Id_cliente,ID 59 no existe en clients. Convertido a NULL.
61,linea_id,ID 3 no existe en lineas. Convertido a NULL.
62,Id_cliente,ID 60 no existe en clients. Convertido a NULL.
62,linea_id,ID 3 no existe en lineas. Convertido a NULL.
63,Id_cliente,ID 61 no existe en clients. Convertido a NULL.
63,linea_id,ID 3 no existe en lineas. Convertido a NULL.
64,Id_cliente,ID 62 no existe en clients. Convertido a NULL.
64,linea_id,ID 3 no existe en lineas. Convertido a NULL.
65,Id_cliente,ID 63 no existe en clients. Convertido a NULL.
65,linea_id,ID 3 no existe en lineas. Convertido a NULL.
66,Id_cliente,ID 64 no existe en clients. Convertido a NULL.
66,linea_id,ID 3 no existe en lineas. Convertido a NULL.
67,Id_cliente,ID 65 no existe en clients. Convertido a NULL.
67,linea_id,ID 3 no existe en lineas. Convertido a NULL.
68,Id_cliente,ID 66 no existe en clients. Convertido a NULL.
68,linea_id,ID 3 no existe en lineas. Convertido a NULL.
69,Id_cliente,ID 67 no existe en clients. Convertido a NULL.
69,linea_id,ID 3 no existe en lineas. Convertido a NULL.
70,Id_cliente,ID 68 no existe en clients. Convertido a NULL.
70,linea_id,ID 3 no existe en lineas. Convertido a NULL.
71,Id_cliente,ID 69 no existe en clients. Convertido a NULL.
71,linea_id,ID 3 no existe en lineas. Convertido a NULL.
72,Id_cliente,ID 70 no existe en clients. Convertido a NULL.
72,linea_id,ID 3 no existe en lineas. Convertido a NULL.
73,Id_cliente,ID 71 no existe en clients. Convertido a NULL.
73,linea_id,ID 3 no existe en lineas. Convertido a NULL.
74,Id_cliente,ID 72 no existe en clients. Convertido a NULL.
74,linea_id,ID 3 no existe en lineas. Convertido a NULL.
75,Id_cliente,ID 73 no existe en clients. Convertido a NULL.
75,linea_id,ID 3 no existe en lineas. Convertido a NULL.
76,Id_cliente,ID 74 no existe en clients. Convertido a NULL.
76,linea_id,ID 3 no existe en lineas. Convertido a NULL.
77,Id_cliente,ID 75 no existe en clients. Convertido a NULL.
77,linea_id,ID 3 no existe en lineas. Convertido a NULL.
